id;Texto;Etiqueta
618;Tendría que estar de acuerdo con los comentarios de abajo. Él es realmente ineficaz y rígido. No es muy agradable que digamos. Trataría de evitarlo.;"Andamiaje inadecuado o insuficiente; Ausencia de acompañamiento"
620;Director fantástico;Relación cercana
621;"""Mejor profesor de todos, aprendí desde mapeo y formaciones rocosas hasta lecciones de vida de el mejor profesor/asesor que he tenido.""";"Claridad y comprensibilidad de las explicaciones; Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes; Relacionar el contenido con la vida e intereses de los estudiantes; Relación cercana"
622;"Inspirador, servicial, comprensivo, talentoso, etc. Sus clases de escritura fueron increíblemente útiles para mí.";"Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes; Relación cercana"
624;"""Historia de la Música Afroamericana -- El Dr. Wise es increíble. Es una de las personas más amables, entusiastas, talentosas y dedicadas de este campus. ¡Genial!:)""";"Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes; Relación cercana"
625;"""Sabe de qué está hablando. Me encantó la clase. Aprendí más de lo que pensé que podría.""";"Claridad y comprensibilidad de las explicaciones; Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes; Proveer desafíos intelectuales; Relación cercana"
626;"""Excelente profesor; docente innovador.""";"Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes; Relación cercana"
628;"""Dama linda. Muy positiva. Ama la astronomía. Curso moderadamente difícil, pero simple si solo asistes y te mantienes al día con las tareas.""";"Entusiasmo del profesor sobre el curso; Estructura del curso; Proveer desafíos intelectuales; Relación cercana"
629;"""Él es realmente relajado para ingresar las calificaciones a la computadora.""";Retroalimentación inoportuna
630;"Este profesor es el peor de todos, alguien se olvidó de recordarle que tiene una responsabilidad como docente además de ser investigador... gracias Larry";Ausencia de acompañamiento
631;"""mejor profe de todos""";Relación cercana
632;"""Gran profesor, divertido, sencillo y cercano, hizo que la clase fuera muy entretenida y relatable. Él mismo escribió el libro, lo que lo hizo muy útil.""";"Claridad de los materiales de clase; Claridad y comprensibilidad de las explicaciones; Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes; Relación cercana"
633;"Clase fácil, pero el tipo es un completo idiota.";Falta de desafíos intelectuales
634;"Pensé que esta era una clase excelente. Como alguien que no era muy aficionado al inglés, realmente disfruté esta clase. Me ayudó a pensar de manera diferente.";"Activación de conocimiento previo; Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes"
635;"""El libro de prácticas necesita revisión. Es mucho trabajo pero muy fácil.""";"Andamiaje inadecuado o insuficiente; Falta de desafíos intelectuales; Objetivos desbalanceados"
636;"Clase difícil, si quieres aprobar tienes que hacer toda la tarea.";Objetivos desbalanceados
637;"""Hace que trabajes para obtener la calificación, pero sí da buenos comentarios sobre cómo mejorar. Además, si participas, realmente puede ayudar a mejorar tu calificación.""";"Estimulación del interés de los estudiantes; Fomento de preguntas y discusiones; Proveer desafíos intelectuales; Retroalimentación frecuente por parte de los profesores"
638;"""Parecía un poco desorganizada - tardaba en responder los correos electrónicos y rara vez respondía las preguntas que yo tenía.""";"Desorganización; Retroalimentación inoportuna"
639;"""Gran profesora, es muy inteligente y muy amable. Las clases y discusiones hacen que las lecturas difíciles sean mucho más comprensibles a veces.""";"Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes; Fomento de preguntas y discusiones; Relación cercana"
641;"""Qué clase tan awesome... qué profesor tan awesome""";"Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes"
642;"""Falta a 2 clases; me hace perder el tiempo. No cumple con los horarios de oficina. Pierde las tareas. MALO, MALO profesor.""";"Falta de desafíos intelectuales; Retroalimentación inoportuna"
643;"No se dejen engañar por su apariencia aparentemente amigable, es un malvado, egoísta y tirano. El profesor Galt es muchísimo mejor y más abierto a las ideas.";Trato irrespetuoso
644;"""no teléfonos celulares en clase - NUNCA se te olvide apagarlo o te va a caer como un rayo. No llegues tarde. Él no es fácil, pero sabe de qué habla.""";Andamiaje inadecuado o insuficiente
645;"""Buen profesor. Bio es difícil, pero fue bastante justo al respecto. También tenía sesiones de repaso en línea antes del examen que fueron útiles.""";"Alineamiento constructivo; Calidad y equidad en los exámenes; Claridad y comprensibilidad de las explicaciones; Entusiasmo del profesor sobre el curso; Estructura del curso; Relación cercana"
646;Ella es la profesora más amable y es super ayudante y siempre está de buen humor. Sus clases nunca son aburridas. Ella siempre está preparada. Definitivamente debes tomar su curso.;"Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes; Relación cercana"
648;"He aprendido mucho, realmente me cae bien.";"Estimulación del interés de los estudiantes; Relación cercana"
649;"""Clase muy divertida, definitivamente la recomiendo.""";"Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes"
650;"""Simplemente el mejor. Permite la reenviación de tareas para obtener una mejor calificación. Buena clase para ceux que están interesados en una carrera basada en investigación""";"Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes; Relación cercana; Sensibilidad del profesor al nivel y progreso de la clase"
651;"Mancini es simpática, aunque parece que siempre está con prisa. Aprenderás el material, pero no necesariamente te divertirás haciéndolo.";Falta de desafíos intelectuales
653;"Parecía un poco loca a veces, pero es súper cariñosa y dulce. No le puse atención en su clase y aún así logré sacar una A.";"Andamiaje inadecuado o insuficiente; Falta de desafíos intelectuales; Relación cercana"
654;"Aunque es un poco estricta, si haces todo a tiempo, estarás bien. Es buena profesora.";"Alineamiento constructivo; Relación cercana"
655;"Deb es una excelente profesora, explica el material de manera clara y te deja saber exactamente cómo vas. La recomiendo ampliamente.";"Claridad y comprensibilidad de las explicaciones; Estimulación del interés de los estudiantes; Relación cercana; Retroalimentación frecuente por parte de los profesores"
656;"Probablemente el profesor menos útil que he tenido, nos dio exámenes que él admitió abiertamente incluían temas que NO habíamos cubierto en clase...";Problemas de validez
658;"""Es buena. Tómenla.""";Relación cercana
659;"Me encanta el Dr. Roter, es divertido y espera lo mejor de todos, además es un firme creyente en que nosotros podamos alcanzar nuestro máximo potencial.";"Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes; Relación cercana"
660;"""Experiencia maravillosa. Hizo que una clase de fin de semana fuera divertida y significativa. Se enfocó en aspectos reales de la enseñanza y en formas de mejorar el sistema.""";"Ejemplificación contextualizada; Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes; Proveer desafíos intelectuales; Relación cercana"
661;"""Mejor profesora de matemáticas que he tenido... muy clara en todos los temas, está dispuesta a sentarse contigo y ayudarte... definitivamente la volvería a tomar...""";"Claridad y comprensibilidad de las explicaciones; Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes; Relación cercana"
662;"""eh, sí... esta clase es realmente fácil al principio, pero se vuelve muy difícil al final. Norma es una mujer muy interesante, tiene que decirse...""";Objetivos desbalanceados
663;"""Las clases son ABURRIDAS...  Los exámenes son difíciles porque no habla del material que sale en ellos...  No aprendí absolutamente nada en su clase.""";"Actividades instruccionales monótonas; Desorganización; Objetivos poco claros; Problemas de validez"
664;La profesora Hilton fue maravillosa. Ella realmente hizo que sus tareas fueran claras y sus artículos y novelas siempre eran muy interesantes y divertidos de leer.;"Claridad y comprensibilidad de las explicaciones; Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes; Relación cercana"
665;"Creo que ella es una señora agradable, pero no es la mejor profesora. He tomado dos de sus cursos hasta ahora y ambos fueron muy lentos y aburridos.";Actividades instruccionales monótonas
666;"""ME ENCANTÓ esta clase. La recomiendo a TODOS con este profesor. Él enseña cosas más allá del libro de texto y me ha ayudado con habilidades para la vida.""";"Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes; Relacionar el contenido con la vida e intereses de los estudiantes; Relación cercana"
667;"Clase fácil. Un profesor buenísimo y muy amable, y la clase es súper fácil. Se puede encontrar la mayoría de las respuestas en Internet y las tareas son claras y directas.";"Calidad y equidad en los exámenes; Relación cercana"
668;"""Nos da mucha tarea. No sabe explicar las cosas. Y cuando le preguntas, parece que no le importa.""";"Andamiaje inadecuado o insuficiente; Ausencia de acompañamiento; Objetivos desbalanceados"
669;"Es como si no tuviera ganas de enseñar, solo viene a clase porque tiene que hacerlo, es su trabajo, necesita pagar las cuentas. No lo recomiendo para nada.";Actividades instruccionales monótonas
670;"""Profesor muy desafiante -- nos hace pensar de manera creativa. Increíblemente atractivo, también.""";Proveer desafíos intelectuales
671;Me encantó. Es muy apasionada por sus alumnos y quiere que uno salga bien. Conoce muy bien el material. La recomiendo ampliamente.;"Claridad y comprensibilidad de las explicaciones; Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes; Relación cercana"
672;"El Dr. Millikin es un gran profesor. Por lo general, las personas que no lo gustan están ahí solo para obtener una calificación. Él es muy útil si simplemente se le pregunta.";Relación cercana
673;"El señor Lowe es, de lejos, el mejor profesor que tuve durante mi tiempo en VSCC. Siempre se pone a disposición y es genial, incluso fuera del salón de clase.";Relación cercana
674;"""Es un excelente profesor y realmente sabe de qué habla. No es aburrido en lo absoluto, es bastante interesante de hecho. Me encanta estar en su clase.""";"Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes; Relación cercana"
675;"""mejor profesor de diseño que he tenido!!!! toma su clase!!!! en lugar de criticarte, te ayuda a crecer como diseñador y a mejorar tus ideas... lo mejor!!!!!!""";"Estimulación del interés de los estudiantes; Proveer desafíos intelectuales; Relación cercana"
676;"""Es un profesor realmente amable que he conocido. Me ayuda mucho!!!! Quiero tomar su clase de nuevo :)""";"Estimulación del interés de los estudiantes; Relación cercana"
677;"""Parece que no sabe de qué está hablando. Sus discusiones son extensas sin ningún motivo y confunden a la gente.""";Andamiaje inadecuado o insuficiente
678;"La mejor profesora de toda la universidad. Se preocupa por tu proyecto y calificación como si fuera suyo. Más que una profesora, es una mentora.";"Aprendizaje basado en proyectos; Entusiasmo del profesor sobre el curso; Relación cercana"
679;"""Oracle es lo suficientemente difícil - El instructor no fue para nada útil. El libro tampoco fue gran cosa. Aprendí trabajando junto con otros compañeros.""";"Andamiaje inadecuado o insuficiente; Ausencia de acompañamiento"
680;"Estudien las guías de estudio, ellas son la prueba y el boleto para una A. Difícil de entender debido a su acento, pero la clase no fue tan difícil.";Materiales interactivos
681;"Solo hay 4 proyectos, en los que o sacas 100%, 66% o 0%, y 3 parciales que son casi imposibles de aprobar. PROFESOR HORRIBLE";"Objetivos desbalanceados; Problemas de validez"
682;Ella es mi profesora de contabilidad favorita en la UNLV.;Relación cercana
683;"""Nunca había escuchado que tuviéramos que hacer trabajos en una clase de matemáticas, pero tenemos trabajos casi semanales sobre conceptos que ni siquiera ha enseñado""";"Desorganización; Objetivos desbalanceados; Problemas de validez"
684;"Disfruté asistir a esta clase cada semana, él realmente te hace pensar y la opinión de todos importa.";"Estimulación del interés de los estudiantes; Fomento de preguntas y discusiones; Proveer desafíos intelectuales"
685;"Esta clase es realmente fácil, aunque requiere un código de acceso para las tareas.";Falta de desafíos intelectuales
686;El Dr. Baker es muy ayudante y inteligente y definitivamente uno de los mejores profesores que he tenido.;Relación cercana
687;"Habla muy rápido en las clases, intenta ser gracioso pero no lo es, es muy estricto con las notas en los exámenes, tiene pocos horarios de oficina y en general no es recomendado.";"Ausencia de acompañamiento; Problemas de validez"
688;"""Gran profesor, muy inteligente. Se da cuenta de que la física puede ser difícil y te ayudará en casi cualquier momento que tenga libre.""";"Entusiasmo del profesor sobre el curso; Relación cercana"
689;"""Extremadamente aburrido, nos hace dar muchas pruebas y tareas de lectura... tiene la capacidad de hablar sola en una clase donde todos los demás estamos durmiendo""";"Actividades instruccionales monótonas; Objetivos desbalanceados"
690;Es un tipo muy simpático y realmente se preocupa por sus alumnos. Tiene unas historias muy buenas.;"Entusiasmo del profesor sobre el curso; Relación cercana"
691;"""Su acento es bastante agradable. Buen profesor, clase fácil""";Relación cercana
692;"La profesora Himmelbaum es una docente experimentada, amable y valiosa. No se desanimen. ¡Me encanta!";Relación cercana
693;"Es la mejor. Ni muy fácil, ni muy difícil. Da mucho respeto. Es reeeeeealmente amable. Me encantó. Tómenla. Aprenderán mucho.";"Calidad y equidad en los exámenes; Estimulación del interés de los estudiantes; Relación cercana"
694;"""Sabe de qué se trata cuando se habla de Historia del teatro. También es muy detallista al enseñar a los directores qué considerar al momento de llevar una obra a escena.""";"Aplicación del conocimiento; Entusiasmo del profesor sobre el curso; Modelado; Relación cercana"
695;"Eli es un profesor increíble, te mantiene pensando. Muy recomendado. No es una calificación fácil, pero te ayudará a llegar. ¡Un curso obligatorio!";"Estimulación del interés de los estudiantes; Proveer desafíos intelectuales; Relación cercana"
696;"""¡Me encantó la clase! Material muy interesante. El Dr. Langely es muy divertido y entretenido. Aprobado fácil si asistes a clase y tomas notas.""";"Claridad de los materiales de clase; Estimulación del interés de los estudiantes; Relación cercana"
697;"Muy buen profesor, buen sentido del humor. Muy inteligente.";Entusiasmo del profesor sobre el curso
699;"""Gran profesor... Resúmenes entre semana, lunes por cierto... Un examen de mitad de curso de 20 preguntas más crédito extra. Un final de 25 preguntas más crédito extra y... 1 presentación... FÁCIL !!!""";"Relación cercana; Sensibilidad del profesor al nivel y progreso de la clase"
700;El Dr. Sydlik es el mejor profesor que he tenido nunca.;"Estimulación del interés de los estudiantes; Relación cercana"
701;"Para Finanzas Intermedias 1... Ella es sólida, conoce su material, lleva un buen ritmo y los exámenes son justos. Te prepara bien para los exámenes.";"Alineamiento constructivo; Calidad y equidad en los exámenes; Claridad de los materiales de clase; Claridad y comprensibilidad de las explicaciones"
702;"""es el mejor profesor de historia que he tenido... es el hombre.. si quieres un A fácil toma con suetta""";Estimulación del interés de los estudiantes
703;"Profesor favorito hasta ahora. Hace que la clase sea increíble - soy estudiante de salud, pero él me hizo considerar tomar más clases de historia.";"Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes; Relación cercana"
704;"""Profesor increíble y gran persona. Si tienes la oportunidad de tomar una clase con él mientras estés en la universidad, ¡no te pierdas la oportunidad! No te arrepentirás.""";"Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes; Relación cercana"
705;"Curso difícil, buenos fundamentos para estudiar";Proveer desafíos intelectuales
706;"Aprovecha las revisiones de tus compañeros. Ella te ayuda a generar ideas para los temas. Los trabajos son solo de 3 páginas de largo, pero te hacen reflexionar.";"Evaluación entre pares; Proveer desafíos intelectuales; Relación cercana"
707;"Ella fue una buena profesora, puedes hacerle mucho preguntas. A veces está un poco desorganizada, pero es muy útil. La volvería a tomar como profesora.";Relación cercana
708;"En mi opinión, la chef Mattie no es favorable a los negros. Soy blanco y ella ha dicho muchas cosas delante de mí sobre estudiantes de minorías.";Trato discriminatorio
709;"Este tipo es un blandengue, prácticamente tendrías que faltar a clases, no hacer las lecturas y no presentarte al examen final para meterte en problemas.";Falta de desafíos intelectuales
710;"Mujer agradable, realmente distraída, leyó mucho del libro.";"Actividades instruccionales monótonas; Desorganización; Relación cercana"
712;"Su clase es muy buena, su enseñanza es buena, siempre se preocupa por la comprensión y comodidad de los estudiantes, yo recomendaría su clase :)";"Claridad y comprensibilidad de las explicaciones; Relación cercana"
713;"""Consigue el libro. Sus diapositivas de PowerPoint no tienen mucho que ver con lo que sale en la prueba. En general, es una clase fácil, solo tienes que aprender por tu cuenta""";"Ausencia de acompañamiento; Falta de desafíos intelectuales; Problemas de validez"
714;"""No fue de ninguna ayuda, gasté todo ese dinero en el libro y ni siquiera lo necesité. Las clases eran aburridas y no tenían nada que ver con el examen difícil.""";"Actividades instruccionales monótonas; Problemas de validez"
715;"""¡Gran profesor!""";Relación cercana
716;Ahora él está dictando el siguiente nivel de contabilidad que necesito y no sé si debería tomarlo porque no aprendí nada en la clase 220;Ausencia de acompañamiento
717;"Este tipo sabe muchísimo y no puede esperar para contártelo, es muy entusiasta y tan amable que es imposible no caerle bien.";"Entusiasmo del profesor sobre el curso; Relación cercana"
718;"Fue un profesor increíble, aprendí mucho. Esperen preguntas sorpresa cada semana y mucha memorización. Tomen este curso, no se arrepentirán.";"Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes; Relación cercana"
719;"""Gran profesor. Muy fácil y servicial. Hace que las cosas sean interesantes. Gran tipo. ¡TÓMENLO! Mejor decisión que he tomado""";"Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes; Relación cercana"
720;"""Gran interés, Gran profesor 2""";Estimulación del interés de los estudiantes
721;"""Profesor increíble. ¡Ningún libro de texto, ningún trabajo escrito, ningún examen! 4 exposiciones, 3 esquemas y listo. ¡Tómalo para tus clases de oratoria!""";"Evaluación auténtica; Relación cercana"
722;"Las clases son informativas y disfrutables, y los exámenes son directos y al punto. Muy amable si tienes un horario imposible.";"Calidad y equidad en los exámenes; Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes"
723;Habla de todo menos de geografía. No me dio crédito por 2 exámenes y una prueba porque se olvidó.;Desorganización
724;"""Es un tipo muy simpático, pero no enseña. Se sale del tema muy fácilmente... Los exámenes son bastante difíciles, lean el libro. Mientras traten de hacerlo, él los aprobará""";"Desorganización; Problemas de validez; Relación cercana"
725;"""¡ESOOOOO DIVERTIDO!!!  Solo quiere divertirse y tener muchas discusiones con él... oh dios... jaja.. es el profe más chido que he tenido !""";"Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes; Fomento de preguntas y discusiones"
726;Te genera interés en Botánica. Excelente Prof.;"Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes"
727;"No es un buen profesor, pareciera ser un poco prepotente";Trato irrespetuoso
728;"""Profesora increíble, muy dispuesta a ayudar, pero tiene sus favoritos""";Relación cercana
730;Ella es una profesora terrible. Es aburrida y poco interesante. La tuve en un curso nocturno y fue horrible. Traten de evitar tomar sus clases...;"Actividades instruccionales monótonas; Falta de desafíos intelectuales"
731;"""Profesor divertido, pero encontré que no siempre es claro en lo que enseña y no siempre da una respuesta directa, pero la clase fue divertida.""";"Andamiaje inadecuado o insuficiente; Entusiasmo del profesor sobre el curso"
732;"Clase muy buena. Requiere algún estudio, pero las preguntas en el examen son palabra por palabra del libro. FÁCIL.";Estimulación del interés de los estudiantes
733;Es muy útil en todo el camino a cualquiera que quiera aprobar con una B o mejor;Relación cercana
734;No es bueno. Se enfurece cuando está estresado. Ten cuidado.;Trato irrespetuoso
735;"Clase genial, profesor genial, muy recomendado";"Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes"
736;"""Hizo que la clase fuera realmente interesante y calificó muy justo""";"Calidad y equidad en los exámenes; Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes"
737;"Es un hombre muy intelectual, pero también un nerd tremendo. En serio intenta humillar a sus alumnos en clase, lo que definitivamente está mal.";Trato irrespetuoso
738;"No hay créditos extras, no hay tareas adicionales. 1 examen y 1 final. Los exámenes son difíciles pero se basan en el libro. Así que si lees, deberías salir bien.";Estructura del curso
739;Y él sigue ayudándome...;Relación cercana
740;"Puede ser dura, pero es para tu propio bien. Aprenderás mucho de verdad. Su clase te ayudará a tener éxito en otras clases de inglés.";Aplicación del conocimiento
741;¡Clase excelente! ¡Muchas gracias!;Estimulación del interés de los estudiantes
742;El señor Delgado es un profesor excelente. Él es muy accesible y dispuesto a trabajar con sus estudiantes. Solo tienes que demostrar que quieres aprender.;Relación cercana
743;Estoy tomando su clase de literatura infantil en este momento. Ella es muy interesante y se esfuerza por mantener a la clase interesada y atenta.;"Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes"
744;Me gusta esta clase y el foro abierto.;"Estimulación del interés de los estudiantes; Fomento de preguntas y discusiones"
745;"""Formato fácil de seguir pero no saqué nada de sus clases. Califica los trabajos muy duro y escribe los comentarios más crueles en ellos.""";"Problemas de validez; Sin aplicación de conocimientos y habilidades en diferentes contextos; Trato irrespetuoso"
747;"Ella es buena profesora, pero se pone un poco loca y puede ser confusa a veces. Es mucho más difícil que los profesores que han tenido mis amigos en ENG 106.";Desorganización
748;"""Mala clase, peor profesor""";Falta de desafíos intelectuales
749;"""La mayoría del examen tenía contenido que no se abordó muy bien. Espero que entiendas matemáticas y problemas de palabra si lo tomas.""";"Andamiaje inadecuado o insuficiente; Problemas de validez"
750;"""Mejor y más fácil clase que he tomado nunca""";Estimulación del interés de los estudiantes
751;Él es una de las personas más increíbles que existen;Relación cercana
752;"""Clase bastante fácil, sacará buenas calificaciones. No es muy interesante, asegúrate de hacer todas las lecturas. Ocasionalmente dará crédito extra por asistencia.""";Falta de desafíos intelectuales
754;George Williams es uno de los tipos más grandes que existen. Tomé muchas clases con Willy G y siempre encontré sus clases muy divertidas.;"Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes; Relación cercana"
755;"Ella es conocida como ""feth del fracaso"", no le importan los rendimientos de sus alumnos para nada y si le pides ayuda, se ríe de ti. No me gustó.";"Ausencia de acompañamiento; No hay retroalimentación constructiva; Trato irrespetuoso"
756;"""CM es genial, ama sus estudios y se nota. La clase es siempre animada. Sin embargo, es dura con las calificaciones, así que haz el esfuerzo en tus escritos.""";"Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes; Proveer desafíos intelectuales; Relación cercana"
757;"""Todo lo que necesitas hacer es escribir 3 trabajos con buena gramática y puntuación porque a él le gusta que estén bien hechos. Tienes que leer todos los libros.""";Proveer desafíos intelectuales
758;Muy conocedora del material y extremadamente útil. Ella hará todo lo posible para asegurarse de que tengas éxito en su clase.;"Entusiasmo del profesor sobre el curso; Relación cercana"
759;"""Es increíble. Tan inspirador y sincero. Se le iluminan los ojos y todos cantan con el corazón para él. Una experiencia impresionante.""";"Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes; Relación cercana"
760;"Muy buen profe y un buen tipo. Solo dos exámenes. No hay tareas, no hay trabajos para llevar a casa, nada. Solo tienes que ir a clase y te darán una A.";"Relación cercana; Sensibilidad del profesor al nivel y progreso de la clase"
761;"""buen profe, a veces un poco aburrido, pero buena onda""";"Actividades instruccionales monótonas; Relación cercana"
762;"Clase bastante fácil, solo quería que le pusieras empeño. Lo tenía una vez a la semana, es tan incómodo y divertido, que solo quieres abrazarlo.";Entusiasmo del profesor sobre el curso
763;"Esta profesora es muy difícil, me confundió con las tareas. Me gusta mucho la historia y ella me hizo perder el gusto por ella en su clase.";Desorganización
764;"""Excelente profesora... Un poco estricta, pero muy servicial. Les recomiendo tomar sus clases.""";Relación cercana
765;"Tomé 3 de sus clases antes, ella es buena onda, solo necesitas ser un buen estudiante, platica con ella y entonces ella va a entender y se va a poner a pensar por ti.";Relación cercana
766;Malas explicaciones;Andamiaje inadecuado o insuficiente
767;"""Excelente profesor, clase divertida, las tareas no son difíciles y se vuelven más fáciles después de hacerlas un par de veces, una de mis clases favoritas que he tomado.""";"Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes; Estructura del curso; Relación cercana"
768;"""Utiliza demasiadas diapositivas y luego te abrumas con mucha información general y no hay claridad sobre los detalles específicos con los que te vamos a evaluar.""";"Desorganización; Objetivos poco claros; Problemas de validez"
769;Es inspirador para futuros educadores musicales observar la enseñanza y dirección coral en su mejor versión. Nina encarna lo que es la música coral.;"Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes; Relación cercana"
770;¡Te quiero! ¡Eres el mejor profesor que he tenido! ¡Gracias por todo tu esfuerzo y entusiasmo!!!;"Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes; Relación cercana"
771;"""Gran profesor. Hizo que un libro realmente aburrido se volviera interesante.""";"Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes"
772;"""Pudo explicar y aplicar la mayoría de las cosas muy bien. Pero también creía que sabía todo. Fue muy justo al calificar los trabajos y las pruebas.""";"Calidad y equidad en los exámenes; Claridad y comprensibilidad de las explicaciones; Modelado"
773;Los exámenes eran un desafío - el final fue ridículo;Problemas de validez
774;"Tomé esta clase en mi último año y era estudiante de física. La odiaba, era tan aburrida, no les ponía atención ni hacía ninguna de las tareas. Un desperdicio.";"Actividades instruccionales monótonas; Falta de desafíos intelectuales"
775;"""Ella es un poco despistada y desorganizada, pero se va a esforzar por ayudarte si tienes problemas con el idioma.""";"Desorganización; Relación cercana"
776;Su sistema de calificación es un desastre total para los exámenes y las tareas. La única razón por la que fui a clase fue porque era muy estricta con la asistencia.;Problemas de validez
777;"Tienes que caerle bien a Greta si quieres llegar a dar la clase 99, después tienes que tomar este curso que fue una pérdida de tiempo.";Falta de desafíos intelectuales
778;Es un profesor increíble;Relación cercana
779;"Una instructora muy empática, presta atención a las preguntas y los comentarios. Quiere que tengas éxito. Haz lo mejor que puedas y estarás bien.";"Fomento de preguntas y discusiones; Relación cercana"
780;"""Profesora súper amable y comprensiva!!! Ve a verla si necesitas ayuda, no dudes.""";Relación cercana
781;"Ella es una calificadora muy estricta. Sus exámenes son realmente difíciles. Prepárense para leer los 19 capítulos completos del texto, ya que ella termina un capítulo en 2 días.";"Objetivos desbalanceados; Problemas de validez"
782;"""Ella es muy insegura de sí misma, es triste. Es inmadura. Le gusta hablar condescendientemente con los estudiantes para sentirse bien consigo misma. Tiene problemas.""";Trato irrespetuoso
783;"Mi profesor favorito hasta ahora, podría haber cambiado mi actitud hacia la vida, si eres cristiano, puede que te convierta a otra cosa.";Relación cercana
784;"""Es un excelente profesor y sus clases son divertidas, solo tienes que prestar mucha atención, y nunca te las arreglarás si no asistes a clase.""";"Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes"
785;Es... .Fue ... .Y sigue siendo el mejor profesor en tech.;Relación cercana
786;"""Gimnasio es GENIAL!!! Nos dejó jugar juegos en clase y hacer bromas sobre su cabeza blanca. Jugamos en una consola casi todos los días.""";"Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes; Relacionar el contenido con la vida e intereses de los estudiantes"
787;"Debería considerar proporcionar más profundidad intelectual en sus clases. Es superficial, solo enseña el libro de texto.";Falta de desafíos intelectuales
788;"Me cae bien, es un tipo divertido. Pero pasa un poco rápido por los temas. La clase en sí es dura. No se puede dar medio esfuerzo en este curso. ESTUDIA.";"Andamiaje inadecuado o insuficiente; Entusiasmo del profesor sobre el curso; Relación cercana"
789;Lombrana es un instructor excelente que se preocupa mucho por sus alumnos y su éxito. Es un valor agregado para la escuela y nuestra comunidad.;Relación cercana
790;"Es super fácil, ella es simpática.";Relación cercana
791;"Alsop es el dios de la bio en queens, es muy justo y divertido de trabajar con él, desearía que todos los profesores tuvieran el entusiasmo de este tipo.";"Calidad y equidad en los exámenes; Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes"
792;"""Ella espera mucho de los estudiantes, pero aprenderás más con ella que con cualquier otro profesor de inglés. Muy servicial. Ella ama lo que hace.""";"Entusiasmo del profesor sobre el curso; Proveer desafíos intelectuales; Relación cercana"
793;"Alvin es increíble, ¡tómelo en cualquier momento que puedas!";Estimulación del interés de los estudiantes
794;"Matthew es un buen profesor. Las pruebas son muy difíciles, a menos que le dediques mucho tiempo al estudio.";"Objetivos desbalanceados; Relación cercana"
795;"La señorita Usyk fue muy difícil de trabajar con. Ella era arrogante y no ayudaba en nada. Si tomas su clase, básicamente estás solo. Mejor evítala.";"Ausencia de acompañamiento; Trato irrespetuoso"
797;"No sirve, no es amable, grosero, no es bueno.";Trato irrespetuoso
798;"Ella es como mi profesora favorita, y realmente sabe tocar. No es muy seria y no tiene miedo de reírse de nosotros cuando suena mal !!!";"Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes; Relación cercana"
799;"""Mujer increíble...muy accesible...evalúa con facilidad...tiene un gran sentido del humor...disfruta lo que hace...definitivamente la recomendaría y volvería a tomar su clase""";"Entusiasmo del profesor sobre el curso; Estimulación del interés de los estudiantes; Relación cercana; Sensibilidad del profesor al nivel y progreso de la clase"
